ACCOUNTABILITY_ACHIEVEMENT_GRADE,tested,novice,apprentice,proficient,distinguished,PCT_BONUS,NAPD_CALCULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSESSMENT_PLAN,STDNT_TESTED_CNT,STDNT_TESTED_BNCHMRK_CNT,ENGLISH_MEAN_SCORE,ENGLISH_BNCHMRK_PCT,MATHEMATICS_MEAN_SCORE,MATHEMATICS_BNCHMRK_PCT,READING_MEAN_SCORE,READING_BNCHMRK_PCT,SCIENCE_MEAN_SCORE,SCIENCE_BNCHMRK_PCT,COMPOSITE_MEAN_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTE_CAREER_CCR,TOTALSENIOR_ENROLL,PREPSENIOR_ENROLL,COLLEGEREADY,WORK_KEYS,ASVAB,IND_CERTS,KOSSA,CR_TOTAL,CCR_TOTAL,TOTAL_CCR_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTE_CAREER_PATHWAYS,ENROLLMENT_CNT,CERTIFICATION_CNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTE_CAREER_PERKINS,TOTAL_ENROLLMENT,BENCHMARK_STUDENTS,PERFORMANCE_GOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELIVERY_TARGET_CCR,CCR_2010,CCR_2011,CCR_2012,CCR_2013,CCR_2014,CCR_2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELIVERY_TARGET_GRADUATION_RATE_COHORT,COHORT_2013,COHORT_2014,COHORT_2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELIVERY_TARGET_KSCREEN,KSCREEN_2013,KSCREEN_2014,KSCREEN_2015,KSCREEN_2016,KSCREEN_2017,KSCREEN_2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELIVERY_TARGET_PROFICIENCY_GAP,YR_2014,YR_2015,YR_2016,YR_2017,YR_2018,YR_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELIVERY_TARGET_PROGRAM_REVIEW,PR_2013,PR_2014,PR_2015,PR_2016,PR_2017,PR_2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINANCE,FINANCE_VALUE,FINANCE_RANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEARNING_ENVIRONMENT_EQUITY,EQ_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEARNING_ENVIRONMENT_PROGRAMS,TOTAL_CNT,TOTAL_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
